feature_id	YEAST-CENPK-LOWGROWTH
MET:FEATURE:positive:145.0495:25.71	11066265.966848
MET:FEATURE:positive:148.1160:32.29	1094824.88334707
MET:FEATURE:positive:166.0719:33.29	340364.738497887
MET:FEATURE:positive:167.0832:33.29	235105.691999886
MET:FEATURE:positive:170.0810:29.58	15239895.6380202
MET:FEATURE:positive:174.0761:26.97	1684963.77882089
MET:FEATURE:positive:175.1438:32.48	6220998.31474413
MET:FEATURE:positive:176.1158:32.48	1287913.72975293
MET:FEATURE:positive:217.1546:33.47	558262.32991232
MET:FEATURE:positive:227.1388:28.15	11137377.7483193
MET:FEATURE:positive:247.1285:29.33	2610029.31379977
MET:FEATURE:positive:256.1007:26.97	88790553.0514747
MET:FEATURE:positive:268.1036:25.71	996871666.196041
MET:FEATURE:positive:497.2691:32.90	451953.978658875
MET:FEATURE:positive:116.1073:29.15	2292419.59044702
MET:FEATURE:positive:116.1351:32.73	629284.040499078
MET:FEATURE:positive:132.1384:34.54	471710.017955252
MET:FEATURE:positive:150.0773:27.90	18671200.0719519
MET:FEATURE:positive:157.0607:27.90	10502036.4302105
MET:FEATURE:positive:161.1284:32.48	1627776.61953098
MET:FEATURE:positive:189.1597:32.29	18258541.7523068
MET:FEATURE:positive:194.1174:26.21	3241197.63415885
MET:FEATURE:positive:202.1801:28.65	11590246.1453432
MET:FEATURE:positive:308.0906:25.21	132299939.861419
MET:FEATURE:positive:340.2233:33.29	857235.620095019
MET:FEATURE:positive:468.2349:32.73	1660827.5048344
MET:FEATURE:positive:482.2504:32.48	2390969.09653592
MET:FEATURE:positive:496.2662:32.90	4493077.15319908
MET:FEATURE:positive:510.2820:33.90	227703.481211122
MET:FEATURE:positive:204.1341:27.90	2933178.51087252
MET:FEATURE:positive:307.1219:28.15	19567786.3470748
MET:FEATURE:positive:509.2786:33.90	1301127.63322716
MET:FEATURE:positive:149.0636:25.71	26783615.9887831
MET:FEATURE:positive:189.1347:33.47	2529223.19545137
MET:FEATURE:positive:215.1389:32.73	914971.891352872
MET:FEATURE:positive:275.2158:35.71	2427283.86697817
MET:FEATURE:positive:164.0740:35.36	657639.720553165
MET:FEATURE:positive:203.1503:32.73	38502658.6520863
MET:FEATURE:positive:416.2274:35.11	550804.379028425
MET:FEATURE:positive:176.1223:32.48	8428560.72326739
MET:FEATURE:positive:144.1747:35.36	323133.849030961
MET:FEATURE:positive:241.1544:28.15	36265969.9926823
MET:FEATURE:positive:362.0999:35.36	1749277.66817298
MET:FEATURE:positive:495.2629:32.90	21000085.5755095
MET:FEATURE:positive:140.1522:35.11	446067.499778962
MET:FEATURE:positive:150.0548:35.71	7833551.04834107
MET:FEATURE:positive:403.2545:35.71	662538.519127714
