gene_id	gene_symbol	description	BC187	YJM981	CENPK1137D_TPM	BC187_within_dataset_percentile	YJM981_within_dataset_percentile	CENPK1137D_TPM_within_dataset_percentile	comparison_scope	source_layer
YHR154W	RTT107	Rtt107p	53.195395	52.136661	17.502394359482913	0.5314290137792228	0.5346802910667285	0.11970775571375047	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR155W	LAM1	Lam1p	24.216137	35.634496	16.659608483357747	0.26443721938380554	0.39355937451617895	0.11052828774822031	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR156C	LIN1	U5 snRNP complex subunit LIN1	20.780361	22.475335	33.311520606390964	0.2365691283480415	0.274191051246323	0.3128512551517422	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR157W	REC104	Rec104p	1.548875	11.965791	24.011501979294696	0.11363988233472674	0.1912834804149249	0.20503934057699513	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR158C	KEL1	Kel1p	47.930035	25.374667	26.041220487397432	0.48939464313361203	0.2966403468029107	0.2270513300861746	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR159W	TDA11	Tda11p	18.522091	15.176414	20.549637232164027	0.21706146462300666	0.21319089642359498	0.15867366054702137	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR160C	PEX18	Pex18p	18.962811	15.420703	61.7242030015395	0.21984827372658305	0.21528100325127728	0.5468340202322968	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR161C	YAP1801	Yap1801p	83.078448	65.211686	108.5850631260688	0.6768849667131135	0.6101563709552562	0.7143124765829899	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR162W	MPC2	mitochondrial pyruvate carrier	1295.121584	1019.071198	396.26052030740135	0.9826598544666357	0.9777055271713888	0.9218808542525291	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR163W	SOL3	6-phosphogluconolactonase SOL3	384.350224	267.148251	278.04399702585755	0.927078495123084	0.8982814677194613	0.8872236792806294	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR164C	DNA2	bifunctional ATP-dependent DNA helicase/ssDNA endodeoxyribonuclease DNA2	21.588652	22.285598	11.387190063566134	0.24136863291531196	0.2724880012385818	0.06069689022105657	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR165C	PRP8	U4/U6-U5 snRNP complex subunit PRP8	33.698617	29.934305	9.81777911271546	0.36120142436909736	0.34122929246013317	0.0473960284750843	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR166C	CDC23	anaphase promoting complex subunit CDC23	33.000671	24.446855	20.94987047882981	0.35144759250658	0.29060226041182846	0.16560509554140126	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR167W	THP2	Thp2p	49.764998	54.325605	16.414554463350882	0.5027093977395882	0.5499303297724106	0.10865492693892843	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR168W	MTG2	putative GTPase MTG2	14.745648	14.767031	15.581932135499752	0.1929091190586778	0.20939773958817154	0.09985013113525665	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR169W	DBP8	ATP-dependent RNA helicase DBP8	61.01922	22.809789	38.197375304384806	0.5815141662796098	0.2770552717138876	0.3664293742974897	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR170W	NMD3	ribosome-binding protein NMD3	109.22702	84.383035	62.41779751388051	0.7552252670692058	0.6911286576869484	0.5513300861745972	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR171W	ATG7	Atg7p	17.518733	19.08648	46.0790576304953	0.2097847964081127	0.24198792382721784	0.44136380666916447	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR172W	SPC97	gamma-tubulin-complex subunit SPC97	29.58276	18.602158	9.64415702561271	0.31599318779996904	0.23873664653971202	0.04496065942300487	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR173C	YHR173C	uncharacterized protein	27.591905	19.378228		0.29725963771481656	0.2440006192909119		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR174W	ENO2	phosphopyruvate hydratase ENO2	4970.626184	3959.529437		0.9972131908964236	0.9964390772565412		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR175W	CTR2	low-affinity Cu transporter	259.575139	328.460965	141.22151124910826	0.8939464313361202	0.9162409041647314	0.7787560884226302	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR175W-A	YHR175W-A	uncharacterized protein	147.390941	87.589591		0.814986840068122	0.7016566031893482		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR176W	FMO1	N,N-dimethylaniline monooxygenase	74.62501	75.857036	31.955555973034134	0.6440625483821025	0.6629509211952315	0.3002997377294867	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
