feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	YEAST-CENPK-LOWGROWTH
PROT:sp|P32588|PUB1_YEAST	sp|P32588|PUB1_YEAST		PUB1	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	0.00035489036	PUB1 — Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	search FASTA description + reference GFF	31.623445069663887
PROT:sp|P32589|HSP7F_YEAST	sp|P32589|HSP7F_YEAST		SSE1	Heat shock protein homolog SSE1	0.00035489036	SSE1 — Heat shock protein homolog SSE1	search FASTA description + reference GFF	36.85498214712165
PROT:sp|P32590|HSP79_YEAST	sp|P32590|HSP79_YEAST		SSE2	Heat shock protein homolog SSE2	0.00035489036	SSE2 — Heat shock protein homolog SSE2	search FASTA description + reference GFF	35.199207991548974
PROT:sp|P32591|SWI3_YEAST	sp|P32591|SWI3_YEAST		SWI3	SWI/SNF complex subunit SWI3	0.00035489036	SWI3 — SWI/SNF complex subunit SWI3	search FASTA description + reference GFF	27.81569526937041
PROT:sp|P32597|STH1_YEAST	sp|P32597|STH1_YEAST		STH1	Nuclear protein STH1/NPS1	0.00035489036	STH1 — Nuclear protein STH1/NPS1	search FASTA description + reference GFF	27.448385092741464
PROT:sp|P32598|PP12_YEAST	sp|P32598|PP12_YEAST		GLC7	Serine/threonine-protein phosphatase PP1-2	0.00035489036	GLC7 — Serine/threonine-protein phosphatase PP1-2	search FASTA description + reference GFF	29.931060401547597
PROT:sp|P32599|FIMB_YEAST	sp|P32599|FIMB_YEAST		SAC6	Fimbrin	0.00035489036	SAC6 — Fimbrin	search FASTA description + reference GFF	34.097261491213985
PROT:sp|P32602|SEC17_YEAST	sp|P32602|SEC17_YEAST		SEC17	Alpha-soluble NSF attachment protein	0.00035489036	SEC17 — Alpha-soluble NSF attachment protein	search FASTA description + reference GFF	31.303376731755534
PROT:sp|P32604|F26_YEAST	sp|P32604|F26_YEAST		FBP26	Fructose-2,6-bisphosphatase	0.00035489036	FBP26 — Fructose-2,6-bisphosphatase	search FASTA description + reference GFF	30.03708262625117
PROT:sp|P32606|PT127_YEAST	sp|P32606|PT127_YEAST		PET127	Putative mitochondrial translation system component PET127	0.00035489036	PET127 — Putative mitochondrial translation system component PET127	search FASTA description + reference GFF	24.424494009054488
PROT:sp|P32607|RTG1_YEAST	sp|P32607|RTG1_YEAST		RTG1	Retrograde regulation protein 1	0.00035489036	RTG1 — Retrograde regulation protein 1	search FASTA description + reference GFF	26.498530396424663
PROT:sp|P32608|RTG2_YEAST	sp|P32608|RTG2_YEAST		RTG2	Retrograde regulation protein 2	0.00035489036	RTG2 — Retrograde regulation protein 2	search FASTA description + reference GFF	29.49202222747368
PROT:sp|P32609|PEP7_YEAST	sp|P32609|PEP7_YEAST		PEP7	Vacuolar segregation protein PEP7	0.00035489036	PEP7 — Vacuolar segregation protein PEP7	search FASTA description + reference GFF	24.415771358421424
PROT:sp|P32610|VATD_YEAST	sp|P32610|VATD_YEAST		VMA8	V-type proton ATPase subunit D	0.00035489036	VMA8 — V-type proton ATPase subunit D	search FASTA description + reference GFF	30.16782712391837
PROT:sp|P32611|RML2_YEAST	sp|P32611|RML2_YEAST		RML2	Large ribosomal subunit protein uL2m	0.00035489036	RML2 — Large ribosomal subunit protein uL2m	search FASTA description + reference GFF	26.570613773284457
PROT:sp|P32614|FRDS_YEAST	sp|P32614|FRDS_YEAST		FRD1	Fumarate reductase 1	0.00035489036	FRD1 — Fumarate reductase 1	search FASTA description + reference GFF	31.05179198976127
