reaction_id	pfba_flux	model_id	upstream_baseline	analysis_method
DHQTi	0.31320280666584255	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
IPMD	0.37024544483474187	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
AIRC3	-0.3679961838903603	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TALA	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PUNP1	-0.000553070009308618	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PUNP2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PUNP3	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ADSL2r	0.3679961838903604	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TKT1	0.7730056125408611	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_fe2_e	-0.006782298272134421	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PUNP5	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PUNP6	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PUNP7	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
G6PDA	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RNDR1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ALCD2x	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RNDR3	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RNDR4	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ALDD2y	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TMDS	0.021503164731274553	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RMI	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TMDK1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
LYSAM	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PPCDC	0.0005538918072633014	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
FTHFD	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_glc__D_e	-10.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DHAD1	0.7185529938313194	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
IPPMIa	-0.3702454448347419	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_alltn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
G3PD7	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EDD	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_ura_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NADH9	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_val__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NADH10	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ADK4	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
INSK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
MDH	5.253673982207653	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ABTA	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_xan_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
FUM	5.253673982207653	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
FMNAT	0.0001832609391987925	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PYDXNK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PYAM5PO	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
SSALx	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ASPT	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
OHPBAT	-0.00036652187839746856	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
SERD_L	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_dgsn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NADDP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_arab__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_fru_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
